"item_fr01";"item_fr03a";"item_fr05a";"item_fr06";"item_fr02";"item_fr04a";"item_fn02";"item_abtreib1";"item_abtreib2";"item_abtreib3";"item_abtreib4";"item_sterbe";"item_hasch";"item_homo";"item_iw05";"item_iw02";"item_iw06";"item_iw07";"item_im19";"item_im20";"item_im21";"item_mi02";"item_mi04";"item_ma01";"item_ma04";"item_ma02";"item_ma03"
"item_fr01";" 1.00000";" 0.38522";" 0.38701";" 0.25705";" 0.20454";" 0.35746";" 0.09638";" 0.18160";" 0.13852";" 0.09166";" 0.18019";" 0.05002";" 0.01199";" 0.18896";" 0.05485";" 0.02145";" 0.06836";" 0.03068";" 0.05140";" 0.06625";" 0.13011";" 0.07792";" 0.02711";" 0.03331";" 0.00769";" 0.01011";" 0.04096"
"item_fr03a";" 0.38522";" 1.00000";" 0.47391";" 0.39058";" 0.32485";" 0.53859";" 0.14563";" 0.18527";" 0.13212";" 0.14209";" 0.20190";" 0.08888";" 0.10633";" 0.22906";" 0.15394";" 0.11961";" 0.10672";" 0.11076";" 0.17629";" 0.16918";" 0.17352";" 0.11155";" 0.09281";" 0.07973";" 0.05251";" 0.05996";" 0.10669"
"item_fr05a";" 0.38701";" 0.47391";" 1.00000";" 0.31846";" 0.25524";" 0.48272";" 0.13056";" 0.19772";" 0.16104";" 0.14601";" 0.20920";" 0.07422";" 0.02631";" 0.17020";" 0.09456";" 0.05830";" 0.12574";" 0.09968";" 0.08067";" 0.08560";" 0.15647";" 0.11232";" 0.07511";" 0.03464";" 0.01544";" 0.01450";" 0.05521"
"item_fr06";" 0.25705";" 0.39058";" 0.31846";" 1.00000";" 0.43884";" 0.55120";" 0.17944";" 0.15641";" 0.11376";" 0.15566";" 0.19815";" 0.11478";" 0.16621";" 0.27566";" 0.13191";" 0.10899";" 0.07242";" 0.10159";" 0.15845";" 0.17738";" 0.12600";" 0.18558";" 0.16559";" 0.15051";" 0.08968";" 0.11043";" 0.13877"
"item_fr02";" 0.20454";" 0.32485";" 0.25524";" 0.43884";" 1.00000";" 0.50731";" 0.22762";" 0.15335";" 0.09131";" 0.12446";" 0.17077";" 0.17821";" 0.21580";" 0.34484";" 0.14575";" 0.12568";" 0.15244";" 0.16367";" 0.18165";" 0.20771";" 0.17033";" 0.18403";" 0.15437";" 0.17390";" 0.09447";" 0.11841";" 0.13147"
"item_fr04a";" 0.35746";" 0.53859";" 0.48272";" 0.55120";" 0.50731";" 1.00000";" 0.23067";" 0.20789";" 0.15450";" 0.15905";" 0.22461";" 0.14377";" 0.19493";" 0.35767";" 0.15898";" 0.14254";" 0.13356";" 0.14459";" 0.18741";" 0.21022";" 0.19414";" 0.20232";" 0.15226";" 0.17358";" 0.08225";" 0.10726";" 0.13635"
"item_fn02";" 0.09638";" 0.14563";" 0.13056";" 0.17944";" 0.22762";" 0.23067";" 1.00000";" 0.13319";" 0.11155";" 0.10424";" 0.14781";" 0.13434";" 0.21496";" 0.26639";" 0.02803";" 0.08446";" 0.06566";" 0.03759";" 0.10121";" 0.10742";" 0.10970";" 0.08508";" 0.06479";" 0.11572";" 0.03748";" 0.03418";" 0.05172"
"item_abtreib1";" 0.18160";" 0.18527";" 0.19772";" 0.15641";" 0.15335";" 0.20789";" 0.13319";" 1.00000";" 0.63092";" 0.58715";" 0.63529";" 0.21343";" 0.07143";" 0.14108";"      NA";"      NA";"      NA";"      NA";" 0.06960";" 0.04799";" 0.11061";" 0.05299";" 0.00838";" 0.02350";"-0.00825";"-0.04212";"-0.01279"
"item_abtreib2";" 0.13852";" 0.13212";" 0.16104";" 0.11376";" 0.09131";" 0.15450";" 0.11155";" 0.63092";" 1.00000";" 0.57668";" 0.56210";" 0.16907";" 0.04191";" 0.08924";"      NA";"      NA";"      NA";"      NA";" 0.08652";" 0.07354";" 0.12222";" 0.00817";"-0.01939";" 0.01877";"-0.02136";"-0.07397";"-0.01837"
"item_abtreib3";" 0.09166";" 0.14209";" 0.14601";" 0.15566";" 0.12446";" 0.15905";" 0.10424";" 0.58715";" 0.57668";" 1.00000";" 0.66353";" 0.13046";" 0.09684";" 0.08135";"      NA";"      NA";"      NA";"      NA";" 0.04801";" 0.04566";" 0.02604";" 0.05026";" 0.05390";" 0.03440";"-0.01387";"-0.04689";"-0.00024"
