"row";"column";"cor";"p"
"1";"item_fr01";"item_fr03a";" 0.38522";"0.0e+00"
"2";"item_fr01";"item_fr05a";" 0.38701";"0.0e+00"
"3";"item_fr03a";"item_fr05a";" 0.47391";"0.0e+00"
"4";"item_fr01";"item_fr06";" 0.25705";"0.0e+00"
"5";"item_fr03a";"item_fr06";" 0.39058";"0.0e+00"
"6";"item_fr05a";"item_fr06";" 0.31846";"0.0e+00"
"7";"item_fr01";"item_fr02";" 0.20454";"0.0e+00"
"8";"item_fr03a";"item_fr02";" 0.32485";"0.0e+00"
"9";"item_fr05a";"item_fr02";" 0.25524";"0.0e+00"
"10";"item_fr06";"item_fr02";" 0.43884";"0.0e+00"
"11";"item_fr01";"item_fr04a";" 0.35746";"0.0e+00"
"12";"item_fr03a";"item_fr04a";" 0.53859";"0.0e+00"
"13";"item_fr05a";"item_fr04a";" 0.48272";"0.0e+00"
"14";"item_fr06";"item_fr04a";" 0.55120";"0.0e+00"
"15";"item_fr02";"item_fr04a";" 0.50731";"0.0e+00"
"16";"item_fr01";"item_fn02";" 0.09638";"0.0e+00"
"17";"item_fr03a";"item_fn02";" 0.14563";"0.0e+00"
"18";"item_fr05a";"item_fn02";" 0.13056";"0.0e+00"
"19";"item_fr06";"item_fn02";" 0.17944";"0.0e+00"
"20";"item_fr02";"item_fn02";" 0.22762";"0.0e+00"
"21";"item_fr04a";"item_fn02";" 0.23067";"0.0e+00"
"22";"item_fr01";"item_abtreib1";" 0.18160";"0.0e+00"
"23";"item_fr03a";"item_abtreib1";" 0.18527";"0.0e+00"
"24";"item_fr05a";"item_abtreib1";" 0.19772";"0.0e+00"
"25";"item_fr06";"item_abtreib1";" 0.15641";"0.0e+00"
"26";"item_fr02";"item_abtreib1";" 0.15335";"0.0e+00"
"27";"item_fr04a";"item_abtreib1";" 0.20789";"0.0e+00"
"28";"item_fn02";"item_abtreib1";" 0.13319";"0.0e+00"
"29";"item_fr01";"item_abtreib2";" 0.13852";"0.0e+00"
"30";"item_fr03a";"item_abtreib2";" 0.13212";"0.0e+00"
"31";"item_fr05a";"item_abtreib2";" 0.16104";"0.0e+00"
"32";"item_fr06";"item_abtreib2";" 0.11376";"0.0e+00"
"33";"item_fr02";"item_abtreib2";" 0.09131";"0.0e+00"
"34";"item_fr04a";"item_abtreib2";" 0.15450";"0.0e+00"
"35";"item_fn02";"item_abtreib2";" 0.11155";"0.0e+00"
"36";"item_abtreib1";"item_abtreib2";" 0.63092";"0.0e+00"
"37";"item_fr01";"item_abtreib3";" 0.09166";"0.0e+00"
"38";"item_fr03a";"item_abtreib3";" 0.14209";"0.0e+00"
"39";"item_fr05a";"item_abtreib3";" 0.14601";"0.0e+00"
"40";"item_fr06";"item_abtreib3";" 0.15566";"0.0e+00"
"41";"item_fr02";"item_abtreib3";" 0.12446";"0.0e+00"
"42";"item_fr04a";"item_abtreib3";" 0.15905";"0.0e+00"
"43";"item_fn02";"item_abtreib3";" 0.10424";"0.0e+00"
"44";"item_abtreib1";"item_abtreib3";" 0.58715";"0.0e+00"
"45";"item_abtreib2";"item_abtreib3";" 0.57668";"0.0e+00"
"46";"item_fr01";"item_abtreib4";" 0.18019";"0.0e+00"
"47";"item_fr03a";"item_abtreib4";" 0.20190";"0.0e+00"
"48";"item_fr05a";"item_abtreib4";" 0.20920";"0.0e+00"
"49";"item_fr06";"item_abtreib4";" 0.19815";"0.0e+00"
"50";"item_fr02";"item_abtreib4";" 0.17077";"0.0e+00"
"51";"item_fr04a";"item_abtreib4";" 0.22461";"0.0e+00"
"52";"item_fn02";"item_abtreib4";" 0.14781";"0.0e+00"
"53";"item_abtreib1";"item_abtreib4";" 0.63529";"0.0e+00"
"54";"item_abtreib2";"item_abtreib4";" 0.56210";"0.0e+00"
"55";"item_abtreib3";"item_abtreib4";" 0.66353";"0.0e+00"
"56";"item_fr01";"item_sterbe";" 0.05002";"2.4e-03"
"57";"item_fr03a";"item_sterbe";" 0.08888";"7.7e-08"
"58";"item_fr05a";"item_sterbe";" 0.07422";"8.3e-06"
"59";"item_fr06";"item_sterbe";" 0.11478";"4.3e-12"
"60";"item_fr02";"item_sterbe";" 0.17821";"0.0e+00"
"61";"item_fr04a";"item_sterbe";" 0.14377";"0.0e+00"
"62";"item_fn02";"item_sterbe";" 0.13434";"0.0e+00"
"63";"item_abtreib1";"item_sterbe";" 0.21343";"0.0e+00"
"64";"item_abtreib2";"item_sterbe";" 0.16907";"0.0e+00"
"65";"item_abtreib3";"item_sterbe";" 0.13046";"1.3e-14"
"66";"item_abtreib4";"item_sterbe";" 0.17813";"0.0e+00"
"67";"item_fr01";"item_hasch";" 0.01199";"4.6e-01"
"68";"item_fr03a";"item_hasch";" 0.10633";"4.8e-11"
"69";"item_fr05a";"item_hasch";" 0.02631";"1.1e-01"
"70";"item_fr06";"item_hasch";" 0.16621";"0.0e+00"
"71";"item_fr02";"item_hasch";" 0.21580";"0.0e+00"
"72";"item_fr04a";"item_hasch";" 0.19493";"0.0e+00"
"73";"item_fn02";"item_hasch";" 0.21496";"0.0e+00"
"74";"item_abtreib1";"item_hasch";" 0.07143";"1.7e-05"
"75";"item_abtreib2";"item_hasch";" 0.04191";"1.2e-02"
"76";"item_abtreib3";"item_hasch";" 0.09684";"5.8e-09"
"77";"item_abtreib4";"item_hasch";" 0.09837";"3.2e-09"
"78";"item_sterbe";"item_hasch";" 0.19574";"0.0e+00"
"79";"item_fr01";"item_homo";" 0.18896";"0.0e+00"
"80";"item_fr03a";"item_homo";" 0.22906";"0.0e+00"
"81";"item_fr05a";"item_homo";" 0.17020";"0.0e+00"
"82";"item_fr06";"item_homo";" 0.27566";"0.0e+00"
"83";"item_fr02";"item_homo";" 0.34484";"0.0e+00"
"84";"item_fr04a";"item_homo";" 0.35767";"0.0e+00"
"85";"item_fn02";"item_homo";" 0.26639";"0.0e+00"
"86";"item_abtreib1";"item_homo";" 0.14108";"0.0e+00"
"87";"item_abtreib2";"item_homo";" 0.08924";"1.1e-07"
"88";"item_abtreib3";"item_homo";" 0.08135";"1.3e-06"
"89";"item_abtreib4";"item_homo";" 0.15033";"0.0e+00"
"90";"item_sterbe";"item_homo";" 0.24402";"0.0e+00"
"91";"item_hasch";"item_homo";" 0.33311";"0.0e+00"
"92";"item_fr01";"item_iw05";" 0.05485";"3.7e-03"
"93";"item_fr03a";"item_iw05";" 0.15394";"4.4e-16"
"94";"item_fr05a";"item_iw05";" 0.09456";"7.0e-07"
"95";"item_fr06";"item_iw05";" 0.13191";"3.3e-12"
"96";"item_fr02";"item_iw05";" 0.14575";"1.8e-14"
"97";"item_fr04a";"item_iw05";" 0.15898";"0.0e+00"
