"item_fr01";"item_fr03a";"item_fr05a";"item_fr06";"item_fr02";"item_fr04a";"item_fn02";"item_abtreib1";"item_abtreib2";"item_abtreib3";"item_abtreib4";"item_sterbe";"item_hasch";"item_homo";"item_iw05";"item_iw02";"item_iw06";"item_iw07";"item_im19";"item_im20";"item_im21";"item_mi02";"item_mi04";"item_ma01";"item_ma04";"item_ma02";"item_ma03"
"item_fr01";1;0.39;0.39;0.26;0.2;0.36;0.1;0.18;0.14;0.09;0.18;0.05;0.01;0.19;0.05;0.02;0.07;0.03;0.05;0.07;0.13;0.08;0.03;0.03;0.01;0.01;0.04
"item_fr03a";0.39;1;0.47;0.39;0.32;0.54;0.15;0.19;0.13;0.14;0.2;0.09;0.11;0.23;0.15;0.12;0.11;0.11;0.18;0.17;0.17;0.11;0.09;0.08;0.05;0.06;0.11
"item_fr05a";0.39;0.47;1;0.32;0.26;0.48;0.13;0.2;0.16;0.15;0.21;0.07;0.03;0.17;0.09;0.06;0.13;0.1;0.08;0.09;0.16;0.11;0.08;0.03;0.02;0.01;0.06
"item_fr06";0.26;0.39;0.32;1;0.44;0.55;0.18;0.16;0.11;0.16;0.2;0.11;0.17;0.28;0.13;0.11;0.07;0.1;0.16;0.18;0.13;0.19;0.17;0.15;0.09;0.11;0.14
"item_fr02";0.2;0.32;0.26;0.44;1;0.51;0.23;0.15;0.09;0.12;0.17;0.18;0.22;0.34;0.15;0.13;0.15;0.16;0.18;0.21;0.17;0.18;0.15;0.17;0.09;0.12;0.13
"item_fr04a";0.36;0.54;0.48;0.55;0.51;1;0.23;0.21;0.15;0.16;0.22;0.14;0.19;0.36;0.16;0.14;0.13;0.14;0.19;0.21;0.19;0.2;0.15;0.17;0.08;0.11;0.14
"item_fn02";0.1;0.15;0.13;0.18;0.23;0.23;1;0.13;0.11;0.1;0.15;0.13;0.21;0.27;0.03;0.08;0.07;0.04;0.1;0.11;0.11;0.09;0.06;0.12;0.04;0.03;0.05
"item_abtreib1";0.18;0.19;0.2;0.16;0.15;0.21;0.13;1;0.63;0.59;0.64;0.21;0.07;0.14;NA;NA;NA;NA;0.07;0.05;0.11;0.05;0.01;0.02;-0.01;-0.04;-0.01
"item_abtreib2";0.14;0.13;0.16;0.11;0.09;0.15;0.11;0.63;1;0.58;0.56;0.17;0.04;0.09;NA;NA;NA;NA;0.09;0.07;0.12;0.01;-0.02;0.02;-0.02;-0.07;-0.02
"item_abtreib3";0.09;0.14;0.15;0.16;0.12;0.16;0.1;0.59;0.58;1;0.66;0.13;0.1;0.08;NA;NA;NA;NA;0.05;0.05;0.03;0.05;0.05;0.03;-0.01;-0.05;0
"item_abtreib4";0.18;0.2;0.21;0.2;0.17;0.22;0.15;0.64;0.56;0.66;1;0.18;0.1;0.15;NA;NA;NA;NA;0.08;0.1;0.12;0.08;0.05;0.05;-0.01;-0.02;0
"item_sterbe";0.05;0.09;0.07;0.11;0.18;0.14;0.13;0.21;0.17;0.13;0.18;1;0.2;0.24;NA;NA;NA;NA;0.04;0.08;0.1;0.01;0.07;0.01;0.04;0.01;-0.01
"item_hasch";0.01;0.11;0.03;0.17;0.22;0.19;0.21;0.07;0.04;0.1;0.1;0.2;1;0.33;NA;NA;NA;NA;0.09;0.12;0.01;0.18;0.2;0.25;0.08;0.13;0.09
"item_homo";0.19;0.23;0.17;0.28;0.34;0.36;0.27;0.14;0.09;0.08;0.15;0.24;0.33;1;NA;NA;NA;NA;0.16;0.16;0.12;0.13;0.11;0.23;0.09;0.15;0.11
"item_iw05";0.05;0.15;0.09;0.13;0.15;0.16;0.03;NA;NA;NA;NA;NA;NA;NA;1;0.2;0.19;0.21;0.24;0.25;0.21;NA;NA;0.08;0.02;0.01;0.07
"item_iw02";0.02;0.12;0.06;0.11;0.13;0.14;0.08;NA;NA;NA;NA;NA;NA;NA;0.2;1;0.25;0.21;0.24;0.28;0.26;NA;NA;0.08;0.05;0.02;0.06
"item_iw06";0.07;0.11;0.13;0.07;0.15;0.13;0.07;NA;NA;NA;NA;NA;NA;NA;0.19;0.25;1;0.32;0.14;0.23;0.47;NA;NA;-0.03;-0.05;-0.04;-0.03
"item_iw07";0.03;0.11;0.1;0.1;0.16;0.14;0.04;NA;NA;NA;NA;NA;NA;NA;0.21;0.21;0.32;1;0.2;0.25;0.3;NA;NA;0.06;0.03;-0.01;0.08
"item_im19";0.05;0.18;0.08;0.16;0.18;0.19;0.1;0.07;0.09;0.05;0.08;0.04;0.09;0.16;0.24;0.24;0.14;0.2;1;0.46;0.3;0.08;0.05;0.13;0.02;0.04;0.07
"item_im20";0.07;0.17;0.09;0.18;0.21;0.21;0.11;0.05;0.07;0.05;0.1;0.08;0.12;0.16;0.25;0.28;0.23;0.25;0.46;1;0.45;0.09;0.04;0.15;0.02;0.02;0.06
"item_im21";0.13;0.17;0.16;0.13;0.17;0.19;0.11;0.11;0.12;0.03;0.12;0.1;0.01;0.12;0.21;0.26;0.47;0.3;0.3;0.45;1;0.02;-0.09;-0.01;-0.04;-0.07;0.01
"item_mi02";0.08;0.11;0.11;0.19;0.18;0.2;0.09;0.05;0.01;0.05;0.08;0.01;0.18;0.13;NA;NA;NA;NA;0.08;0.09;0.02;1;0.44;0.23;0.13;0.23;0.22
"item_mi04";0.03;0.09;0.08;0.17;0.15;0.15;0.06;0.01;-0.02;0.05;0.05;0.07;0.2;0.11;NA;NA;NA;NA;0.05;0.04;-0.09;0.44;1;0.22;0.13;0.25;0.24
"item_ma01";0.03;0.08;0.03;0.15;0.17;0.17;0.12;0.02;0.02;0.03;0.05;0.01;0.25;0.23;0.08;0.08;-0.03;0.06;0.13;0.15;-0.01;0.23;0.22;1;0.1;0.2;0.2
"item_ma04";0.01;0.05;0.02;0.09;0.09;0.08;0.04;-0.01;-0.02;-0.01;-0.01;0.04;0.08;0.09;0.02;0.05;-0.05;0.03;0.02;0.02;-0.04;0.13;0.13;0.1;1;0.25;0.25
"item_ma02";0.01;0.06;0.01;0.11;0.12;0.11;0.03;-0.04;-0.07;-0.05;-0.02;0.01;0.13;0.15;0.01;0.02;-0.04;-0.01;0.04;0.02;-0.07;0.23;0.25;0.2;0.25;1;0.33
"item_ma03";0.04;0.11;0.06;0.14;0.13;0.14;0.05;-0.01;-0.02;0;0;-0.01;0.09;0.11;0.07;0.06;-0.03;0.08;0.07;0.06;0.01;0.22;0.24;0.2;0.25;0.33;1
