"Estimate"	"Std_Error"	"z_value"	"p_value"
"item_fr01 y>=2"	3,712	NA	NA	NA
"item_fr01 y>=3"	1,99	0,033	60,146	0
"item_fr01 y>=4"	0,531	0,038	13,914	0
"item_fr01 Dscrmn"	1,16	0,056	20,795	0
"item_fr03a y>=2"	1,447	0,066	22,092	0
"item_fr03a y>=3"	-0,353	0,064	-5,502	0
"item_fr03a y>=4"	-2,149	0,066	-32,325	0
"item_fr03a Dscrmn"	1,756	0,082	21,292	0
"item_fr05a y>=2"	2,277	0,056	40,495	0
"item_fr05a y>=3"	0,272	0,053	5,182	0
"item_fr05a y>=4"	-1,828	0,054	-33,743	0
"item_fr05a Dscrmn"	1,407	0,066	21,302	0
"item_fr06 y>=2"	2,389	0,065	36,982	0
"item_fr06 y>=3"	0,773	0,062	12,563	0
"item_fr06 y>=4"	-0,945	0,061	-15,391	0
"item_fr06 Dscrmn"	1,695	0,08	21,293	0
"item_fr02 y>=2"	3,009	0,061	49,617	0
"item_fr02 y>=3"	1,278	0,055	23,219	0
"item_fr02 y>=4"	-0,87	0,054	-16,217	0
"item_fr02 Dscrmn"	1,483	0,07	21,288	0
"item_fr04a y>=2"	3,191	0,1	31,926	0
"item_fr04a y>=3"	1,018	0,095	10,67	0
"item_fr04a y>=4"	-1,498	0,096	-15,626	0
"item_fr04a Dscrmn"	2,662	0,125	21,275	0
"item_fn02 y>=2"	-0,123	0,02	-6,034	0
"item_fn02 y>=3"	-1,941	0,024	-81,82	0
"item_fn02 Dscrmn"	0,469	0,026	18,254	0
"item_abtreib1 Intercept"	0,573	0,064	8,989	0
"item_abtreib1 Dscrmn"	1,626	0,085	19,086	0
"item_abtreib2 Intercept"	0,574	0,054	10,711	0
"item_abtreib2 Dscrmn"	1,329	0,07	18,88	0
"item_abtreib3 Intercept"	-0,428	0,058	-7,396	0
"item_abtreib3 Dscrmn"	1,494	0,079	18,927	0
"item_abtreib4 Intercept"	0,127	0,068	1,875	0,061
